"rank","tier","confidence","name","filing_date","state","industry","amount_offered_usd","amount_sold_usd","investors","archetype","total_score","solo_buildability","business_potential","fundability","korea_fit","global_fit","adjacent_optionality","product_summary","solo_idea","revenue_model","moat_to_build","expansion","risk","build_window","official_url","sec_url"
"42","핵심","A","Tokma Digital Corp","2026-05-05","NE","Other Technology","240000","","0","법률·전문서비스 운영","86","22","23","15","13","9","4","Tokma - 1 Stop Services At Tokma, service providers and service users meet in one powerful platform for home, life,…","사건 접수, 증거 타임라인, 문서 품질검사, 청구 가능 활동 포착 중 하나를 HWP·이메일과 연결","사용자당 월 구독 + 구축비 또는 복원매출 수수료","한국 문서·업무 템플릿, 전문가 수정 이력, 사건 결과 라벨","한국·일본 전문서비스","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://tokmadigital.com/","https://www.sec.gov/Archives/edgar/data/2133083/000213308326000001/0002133083-26-000001-index.html"
"43","관찰","C","Mindsmith Learning, Inc.","2025-07-23","UT","Other Technology","4175000","4139998","12","개발도구·데이터","85","22","21","18","10","10","4","The only AI-native eLearning authoring tool with live conversations, branching scenarios, video, and analytics built in. Build courses learners remember.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.mindsmith.ai/","https://www.sec.gov/Archives/edgar/data/2077098/000207709825000001/0002077098-25-000001-index.html"
"44","관찰","C","Dunya Analytics, PBC","2025-07-31","DE","Other Technology","1000000","676490","8","개발도구·데이터","85","22","21","18","10","10","4","Dunya - The first travel focused social media platform","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://getdunya.com/","https://www.sec.gov/Archives/edgar/data/2001192/000200119225000002/0002001192-25-000002-index.html"
"45","응용","B","BlueFlag Security Inc.","2026-02-19","CA","Other Technology","9999999","7499999","6","보안·AI 거버넌스","85","18","23","17","13","10","4","BlueFlag Security provides multi-layer defense, protecting both developer identities and their tools from code to production.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.blueflagsecurity.com/","https://www.sec.gov/Archives/edgar/data/2112160/000211216026000001/0002112160-26-000001-index.html"
"46","핵심","B","Tonbo IO Inc.","2026-02-03","DE","Other Technology","3000000","2910000","4","개발도구·데이터","85","22","20","19","10","10","4","Tonbo is an open-source, embedded database library for serverless, data-intensive applications. Runs in-process. No separate database service.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://tonbo.io/","https://www.sec.gov/Archives/edgar/data/2106970/000210697026000001/0002106970-26-000001-index.html"
"47","핵심","B","Pryme Infil, Inc.","2025-10-16","CA","Other Technology","2000000","2000000","3","인력·교육·온보딩","85","22","20","18","12","9","4","The new standard in operations, training, and personnel management for public safety.","규정·업무 문서 기반 신규직원 온보딩, 역할별 코칭, 이수·업무수행 증빙을 한 직군에 제공","사용자당 월 구독 + 콘텐츠 구축비","직군별 평가·성과 데이터, 사내문서 연동","한국·일본 B2B 교육","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.prymeinfil.com/","https://www.sec.gov/Archives/edgar/data/2091989/000209198925000001/0002091989-25-000001-index.html"
"48","핵심","B","Voice Eval Systems, Inc.","2025-06-11","FL","Other Technology","","505000","9","개발도구·데이터","85","22","21","18","10","10","4","Test AI Voice Agents with Advanced Q&A Platform - Comprehensive testing suite for voice agents across multiple platforms and frameworks…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://voiceeval.com/","https://www.sec.gov/Archives/edgar/data/2071822/000207182225000001/0002071822-25-000001-index.html"
"49","핵심","A","Develop Health Inc.","2025-09-30","CA","Other Technology","17619500","17619500","27","의료 수익·청구 운영","85","21","25","15","13","7","4","Automate prior authorization and predict medication coverage, cost, and requirements at the point of prescription. 5x throughput, more approvals.","치과·검사기관의 청구 전 누락검사, 거절 사유 분류, 재청구 초안을 사람 승인 방식으로 제공","월 구독 + 회수·누수복원 금액의 성과수수료","거절 사유, 수정 이력, 실제 회수 결과 데이터","한국·일본의 비임상 청구 운영","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.develophealth.ai/","https://www.sec.gov/Archives/edgar/data/2078258/000207825825000001/0002078258-25-000001-index.html"
"50","응용","A","Silent Push, Inc.","2025-09-16","VA","Other Technology","9999982","9999978","9","보안·AI 거버넌스","85","18","23","17","13","10","4","Expose pre-weaponized adversary infrastructure with Indicators of Future Attack®.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.silentpush.com/","https://www.sec.gov/Archives/edgar/data/2047904/000123191925000199/0001231919-25-000199-index.html"
"51","응용","A","Overwatch Data, Inc.","2025-02-03","NY","Other Technology","7379998","7379998","16","보안·AI 거버넌스","85","18","23","17","13","10","4","Overwatch Data is an AI-native threat intelligence platform combining automated agents with expert insight to help cyber and fraud teams…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.overwatchdata.ai/","https://www.sec.gov/Archives/edgar/data/2054765/000205476525000001/0002054765-25-000001-index.html"
"52","응용","A","Bond Communications, Inc.","2025-10-02","WA","Other Technology","3412997","3412997","23","보안·AI 거버넌스","85","18","22","19","13","9","4","UAE integrators for ELV, Audio Visual Systems, Low Current Systems, Security Systems, Intelligent traffic system, Smart City Integrations, Telecom Systems,…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.bondcommunications.com/","https://www.sec.gov/Archives/edgar/data/2088861/000208886125000001/0002088861-25-000001-index.html"
"53","응용","A","Start With Level, Inc.","2025-09-08","NY","Other Technology","3089996","2589997","10","보험 운영","85","19","24","19","12","7","4","Level helps prevent undervalued auto insurance settlements. We partner with some of the largest lending organizations in the world.","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.startwithlevel.com/","https://www.sec.gov/Archives/edgar/data/2077944/000207794425000001/0002077944-25-000001-index.html"
"54","핵심","A","Anadyr Horizon, Inc.","2025-07-16","NY","Other Technology","3500000","2080000","6","개발도구·데이터","85","22","20","19","10","10","4","Anadyr Horizon Inc. builds AI-powered simulations that predict geopolitical escalation. Our platform helps governments, investors, and insurers see crisis pathways…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.anadyr-horizon.com/","https://www.sec.gov/Archives/edgar/data/2075667/000207566725000001/0002075667-25-000001-index.html"
"55","응용","A","Pinpoint Analytics Inc.","2025-09-16","NJ","Other Technology","2500000","2000000","7","현장·건설·산업 운영","85","18","23","19","13","8","4","PinPoint Analytics is estimating support software that harnesses the power of technology to help contractors and municipalities make the best…","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","긴 조달 가능성 — 민간 공급자부터 진입","6–8주","https://www.pinpointanalytics.ai/","https://www.sec.gov/Archives/edgar/data/2039044/000203904425000002/0002039044-25-000002-index.html"
"56","핵심","A","Artom Ventures, Inc.","2025-06-16","VA","Other Technology","1625000","1625000","12","인력·교육·온보딩","85","22","19","19","12","9","4","Artom Ventures pairs deep expert assessment experience with proprietary AI to help private equity deal teams and portfolio company leaders…","규정·업무 문서 기반 신규직원 온보딩, 역할별 코칭, 이수·업무수행 증빙을 한 직군에 제공","사용자당 월 구독 + 콘텐츠 구축비","직군별 평가·성과 데이터, 사내문서 연동","한국·일본 B2B 교육","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://artomventures.com/","https://www.sec.gov/Archives/edgar/data/2073310/000207331025000001/0002073310-25-000001-index.html"
"57","핵심","A","Wood Wide AI, Inc.","2025-07-14","PA","Other Technology","1125000","1125000","3","개발도구·데이터","85","22","20","19","10","10","4","Wood Wide s reusable representation layer enables AI-native teams to add reasoning across multiple operations without building task-specific models or…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.woodwide.ai/","https://www.sec.gov/Archives/edgar/data/2073658/000207365825000001/0002073658-25-000001-index.html"
"58","핵심","A","College Health TV Inc.","2026-06-25","NC","Other Technology","250000","125000","1","마케팅·영업·고객운영","85","23","22","15","13","8","4","Delivering college health and wellness video content to students across 100+ campuses. Empowering healthier, more successful students.","네이버·인스타그램·스마트스토어의 문의·리뷰·콘텐츠를 예약·매출 행동으로 연결하는 업종 특화 도구","브랜드당 월 구독 + 채널/매출 규모 요금","채널 연동, 업종별 콘텐츠 성과, 실제 전환 데이터","한국에서 검증 후 일본·동남아","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.collegehealthtv.com/","https://www.sec.gov/Archives/edgar/data/2141023/000214102326000002/0002141023-26-000002-index.html"
"59","핵심","B","Foundation LLM Technologies, Inc.","2025-06-30","CA","Other","22999984","22999984","12","현장·건설·산업 운영","84","20","24","14","14","8","4","Foundation EGI automates engineering documentation, technical drawings, parts catalogs, and process planning using domain-specific AI built for manufacturing.","작업사진·완료서·자재·견적을 청구와 규정 증빙으로 바꾸는 공종 하나의 도구","업체당 월 구독 + 현장 수 + 온보딩비","공종별 문서·사진 판정·청구 결과·현장 연동","한국 공종 검증 후 일본·호주","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://foundationllm.com/","https://www.sec.gov/Archives/edgar/data/2000091/000200009125000002/0002000091-25-000002-index.html"
"60","응용","B","Empirical Security, Inc.","2025-07-17","IL","Other Technology","12449888","11935326","17","보안·AI 거버넌스","84","18","23","16","13","10","4","Empirical Security","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.empiricalsecurity.com/","https://www.sec.gov/Archives/edgar/data/2049036/000204903625000001/0002049036-25-000001-index.html"
"61","응용","B","i3 Specialty, Inc.","2026-06-03","CA","Other Technology","1400000","1026388","4","보험 운영","84","19","24","19","12","6","4","A unified solution to measure risk, reduce downtime, and strengthen insurance outcomes.","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://i3specialty.com/","https://www.sec.gov/Archives/edgar/data/2137929/000213792926000001/0002137929-26-000001-index.html"
"62","핵심","B","Barn Analytics, Inc.","2026-01-27","WA","Other Technology","500000","30000","2","개발도구·데이터","84","22","20","18","10","10","4","Barn Analytics – Big Insights for Small Farms","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.barnanalytics.com/","https://www.sec.gov/Archives/edgar/data/2107182/000210718226000001/0002107182-26-000001-index.html"
"63","응용","A","Impart Security Inc.","2025-05-22","CA","Other Technology","11999997","10989047","5","보안·AI 거버넌스","84","18","22","17","13","10","4","Stop AI attacks with unified runtime enforcement. Block zero-day threats in minutes with inline protection for LLMs, agents, APIs, and…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.impart.ai/","https://www.sec.gov/Archives/edgar/data/1897224/000189722425000001/0001897224-25-000001-index.html"
"64","핵심","A","Credible Data, Inc.","2026-02-03","CO","Other Technology","10340004","10339999","29","개발도구·데이터","84","22","20","18","10","10","4","Credible is a context engine for the AI era—capturing shared meaning from your data and delivering it in context to…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://credibledata.com/","https://www.sec.gov/Archives/edgar/data/2058851/000205885126000001/0002058851-26-000001-index.html"
"65","핵심","A","Dalton Mills, Inc.","2026-05-27","NJ","Other Technology","9199981","9199981","17","개발도구·데이터","84","22","20","18","10","10","4","Dalton Mills lets trades businesses build the AI tools and workflows their business runs on. No code required. Built for…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://daltonmills.com/","https://www.sec.gov/Archives/edgar/data/2136348/000213634826000001/0002136348-26-000001-index.html"
"66","핵심","A","Diskover Data Inc.","2025-09-15","CA","Other Technology","7499987","7499987","4","개발도구·데이터","84","22","21","17","10","10","4","Diskover is the unstructured data management platform that unifies storage, cuts costs, boosts visibility, and delivers AI-ready datasets for analytics.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://diskoverdata.com/","https://www.sec.gov/Archives/edgar/data/2081470/000208147025000003/0002081470-25-000003-index.html"
"67","응용","A","Helmet Security, Inc.","2025-12-30","DC","Other Technology","6700000","6700000","3","보안·AI 거버넌스","84","18","22","17","13","10","4","Security for all agentic activity: AI agents, MCP servers, skills, plugins, and gateways. Real-time policy enforcement and agentless discovery via…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.helmetsecurity.com/","https://www.sec.gov/Archives/edgar/data/2102626/000123191925000677/0001231919-25-000677-index.html"
"68","응용","A","Hetal Retail Inc.","2025-06-26","NY","Other Technology","6427493","6427493","29","보안·AI 거버넌스","84","18","23","17","13","9","4","Optimize retail execution easily and affordably to scale sales. Hetal leverages AI to diagnose planogram compliance and empower merchandising, category…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.hetalretail.com/","https://www.sec.gov/Archives/edgar/data/2074401/000207440125000001/0002074401-25-000001-index.html"
"69","핵심","A","Adapt.com, Inc.","2025-09-03","TX","Other Technology","6369740","6369740","15","인력·교육·온보딩","84","22","20","17","12","9","4","Adapt is the integrated coworker: one shared context layer for every employee and every agent, that answers questions and does…","규정·업무 문서 기반 신규직원 온보딩, 역할별 코칭, 이수·업무수행 증빙을 한 직군에 제공","사용자당 월 구독 + 콘텐츠 구축비","직군별 평가·성과 데이터, 사내문서 연동","한국·일본 B2B 교육","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://adapt.com/","https://www.sec.gov/Archives/edgar/data/2084358/000208435825000001/0002084358-25-000001-index.html"
"70","응용","A","DryRun Security Co.","2025-02-05","TX","Other Technology","6234998","6234998","4","보안·AI 거버넌스","84","18","22","17","13","10","4","Next-gen AI-native SAST with unmatched accuracy, lowest noise, zero rules, fast PR feedback, and Code Security Intelligence developers trust.","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.dryrun.security/","https://www.sec.gov/Archives/edgar/data/1963789/000196378925000001/0001963789-25-000001-index.html"
"71","핵심","A","Redi.Health Inc.","2025-08-15","OH","Other Health Care","6000000","5999995","11","개발도구·데이터","84","22","21","17","10","10","4","REDi Health provides healthcare data analytics for rural hospitals to strengthen financial stability, improve outcomes, and enhance operational performance.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://redihealth.com/","https://www.sec.gov/Archives/edgar/data/1838280/000183828025000002/0001838280-25-000002-index.html"
"72","핵심","A","Health Cost IQ Inc.","2026-06-30","AZ","Other Technology","1499999","1499999","1","개발도구·데이터","84","22","21","17","10","10","4","Transform healthcare data into intelligent insights. Predict costs 12 months ahead, reduce expenses 20-30%, and eliminate waste with AI-powered analytics.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.healthcostiq.com/","https://www.sec.gov/Archives/edgar/data/1791970/000179197026000003/0001791970-26-000003-index.html"
"73","응용","A","NovaCore Core Assets INC.","2026-02-19","CO","Business Services","57500","57500","5","보험 운영","84","19","24","18","12","7","4","Discover Novacore’s platform of specialty insurance programs, industry expertise and tech-forward solutions designed to help agents quote faster, grow confidently…","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://novacore.com/","https://www.sec.gov/Archives/edgar/data/2111970/000211197026000001/0002111970-26-000001-index.html"
"74","핵심","A","Transparency Analytics Inc.","2025-11-14","NY","Other Banking and Financial Services","","","5","개발도구·데이터","84","22","21","17","10","10","4","Transparency Analytics provides independent, quantitatively driven credit ratings for corporate issuers across both private and public credit markets — transparent,…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.transparency-analytics.com/","https://www.sec.gov/Archives/edgar/data/2042776/000204277625000002/0002042776-25-000002-index.html"
"75","관찰","C","Blue Ox Digital Infrastructure, LLC - Series 1","2026-01-06","WY","Other Technology","250000","250000","1","개발도구·데이터","83","22","21","16","10","10","4","Elevate CX across WhatsApp, SMS, Email & RCS with Blue.ai. Our all-in-one platform for GCC enterprises unifies campaigns, chatbots &…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://blue.ai/","https://www.sec.gov/Archives/edgar/data/2098709/000209870926000001/0002098709-26-000001-index.html"
"76","응용","B","Paloma Learning Inc.","2026-06-03","CA","Other Technology","8834994","8834994","14","인력·교육·온보딩","83","22","20","17","12","8","4","Paloma helps Title I districts & CMOs accelerate learning by unleashing families’ untapped teaching potential","규정·업무 문서 기반 신규직원 온보딩, 역할별 코칭, 이수·업무수행 증빙을 한 직군에 제공","사용자당 월 구독 + 콘텐츠 구축비","직군별 평가·성과 데이터, 사내문서 연동","한국·일본 B2B 교육","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.palomalearning.com/","https://www.sec.gov/Archives/edgar/data/2137722/000213772226000002/0002137722-26-000002-index.html"
"77","응용","B","Standard Carbon Technology Inc.","2025-05-22","NY","Other Energy","15403500","6421356","26","개발도구·데이터","83","22","21","16","10","10","4","Standard Carbon produces lower-cost energy by converting emissions into usable fuel, delivering more power without replacing existing systems.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.standardcarbon.com/","https://www.sec.gov/Archives/edgar/data/2067619/000206761925000002/0002067619-25-000002-index.html"
"78","응용","B","SteerCo Analytics, Inc.","2025-02-21","DE","Other","2000000","125000","4","개발도구·데이터","83","22","21","16","10","10","4","Steerco","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://www.getsteerco.com/","https://www.sec.gov/Archives/edgar/data/2057358/000205735825000001/0002057358-25-000001-index.html"
"79","응용","A","Lumin Digital, Inc.","2026-01-02","CA","Other Technology","50000000","25000000","3","개발도구·데이터","83","22","21","16","10","10","4","Experience disruption-proof digital banking with Lumin Digital's cloud-native Compounding Growth Platform, offering innovative solutions for financial institutions.","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://lumindigital.com/","https://www.sec.gov/Archives/edgar/data/2046744/000089225126000001/0000892251-26-000001-index.html"
"80","응용","A","Fable Security, Inc.","2025-11-25","CA","Other Technology","24499998","23999998","12","보안·AI 거버넌스","83","18","23","15","13","10","4","Reimagine human risk with AI‑powered interventions. Assess human risk, shape secure behavior, and report on security compliance, all delivered like…","전체 보안제품 대신 AI 에이전트·MCP 사용대장, 승인, 권한, 실행로그, 감사증빙에 집중","회사당 월 구독 + 규정팩 + 감사 온보딩","권한 그래프, 증빙 자동수집, 정책·사고 데이터","한국 ISMS·AI 기본법, 이후 EU·싱가포르","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://fablesecurity.com/","https://www.sec.gov/Archives/edgar/data/2090386/000209038625000001/0002090386-25-000001-index.html"
"81","응용","A","Golden Analytics, Inc","2026-06-05","WA","Other Technology","21636492","21636492","9","개발도구·데이터","83","22","21","16","10","10","4","Golden Analytics is an AI-native BI platform built for data teams who are tired of the tradeoffs in today s…","한국 레거시/SI 스택의 코드·티켓·문서 맥락, 생성코드 QA, 데이터 품질 중 한 문제를 해결","개발자/데이터 사용자당 월 구독","저장소·티켓 연동, 조직별 평가셋, 오류·수정 데이터","처음부터 영문 SaaS 가능","공식 제품·고객 인터뷰로 수요 재검증","4–6주","https://goldenanalytics.com/","https://www.sec.gov/Archives/edgar/data/2138517/000213851726000001/0002138517-26-000001-index.html"
"82","응용","A","Unwind Finance Inc.","2025-01-10","CA","Other Technology","8600000","8464990","22","보험 운영","83","19","24","17","12","7","4","Data analytics and digital asset infrastructure unlocking a trillion dollar asset class","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://unwindfinance.com/","https://www.sec.gov/Archives/edgar/data/1955769/000195576925000001/0001955769-25-000001-index.html"
"83","응용","A","Red Sky Health Corp","2025-05-02","OH","Biotechnology","3459838","3459838","90","보험 운영","83","19","24","17","12","7","4","Revolutionizing healthcare with AI-driven solutions for health insurance claim denials. Daniel, our advanced AI powered by machine learning (ML), is…","보험 판단 대신 서류 접수, 증빙 누락, 상품 비교, 갱신 후속조치처럼 브로커 운영을 자동화","브로커/지점당 월 구독 + 처리 건수","보험사별 포털·서류·예외 데이터","국가별 파트너형 확장","공식 제품·고객 인터뷰로 수요 재검증","6–8주","https://www.redskyhealth.com/","https://www.sec.gov/Archives/edgar/data/2052216/000205221625000001/0002052216-25-000001-index.html"
